Date,Open,High,Low,Close,Adj Close,Volume
2019-10-15,2552.0,2600.0,2425.0,2442.0,2442.0,24600008
2019-10-14,2655.0,2658.0,2523.0,2552.0,2552.0,14396052
2019-10-13,2600.0,2730.0,2570.0,2655.0,2655.0,31365703
2019-10-12,2495.0,2619.0,2530.0,2600.0,2600.0,30897551
2019-10-09,2523.0,2566.0,2417.0,2495.0,2495.0,26764208
2019-10-08,2617.0,2635.0,2487.0,2523.0,2523.0,23932107
2019-10-07,2615.0,2710.0,2569.0,2617.0,2617.0,29566046
2019-10-06,2703.0,2667.0,2570.0,2615.0,2615.0,26997589
2019-10-05,2742.0,2819.0,2618.0,2703.0,2703.0,70550767
2019-10-02,2843.0,2800.0,2710.0,2742.0,2742.0,53869334
2019-10-01,2780.0,2898.0,2705.0,2843.0,2843.0,123739075
2019-09-30,2649.0,2781.0,2715.0,2780.0,2780.0,312945326
2019-09-29,2679.0,2699.0,2600.0,2649.0,2649.0,33565671
2019-09-28,2650.0,2725.0,2644.0,2679.0,2679.0,48974484
2019-09-25,2686.0,2685.0,2620.0,2650.0,2650.0,26768991
2019-09-24,2682.0,2770.0,2600.0,2686.0,2686.0,51480612
2019-09-23,2555.0,2682.0,2651.0,2682.0,2682.0,68493747
2019-09-22,2517.0,2641.0,2495.0,2555.0,2555.0,109153167
2019-09-21,2488.0,2585.0,2436.0,2517.0,2517.0,13271662
2019-09-18,2527.0,2548.0,2410.0,2488.0,2488.0,30622901
2019-09-17,2623.0,2600.0,2492.0,2527.0,2527.0,36647240
2019-09-16,2624.0,2670.0,2590.0,2623.0,2623.0,57258662
2019-09-15,2621.0,2679.0,2570.0,2624.0,2624.0,28389551
2019-09-14,2626.0,2688.0,2596.0,2621.0,2621.0,40623992
2019-09-11,2645.0,2680.0,2599.0,2626.0,2626.0,29416783
2019-09-08,2576.0,2699.0,2590.0,2645.0,2645.0,27964882
2019-09-04,2550.0,2618.0,2535.0,2576.0,2576.0,15639907
2019-09-03,2557.0,2598.0,2512.0,2550.0,2550.0,13961114
2019-09-02,2658.0,2668.0,2526.0,2557.0,2557.0,41037656
2019-09-01,2704.0,2712.0,2604.0,2658.0,2658.0,24401457
2019-08-31,2676.0,2777.0,2641.0,2704.0,2704.0,38230118
2019-08-28,2691.0,2703.0,2590.0,2676.0,2676.0,40914964
2019-08-27,2543.0,2764.0,2610.0,2691.0,2691.0,76171744
2019-08-25,2561.0,2648.0,2495.0,2543.0,2543.0,49043784
2019-08-24,2610.0,2623.0,2516.0,2561.0,2561.0,43393286
2019-08-21,2571.0,2689.0,2551.0,2610.0,2610.0,38347132
2019-08-19,2547.0,2640.0,2510.0,2571.0,2571.0,49630989
2019-08-18,2577.0,2653.0,2501.0,2547.0,2547.0,31709546
2019-08-17,2537.0,2639.0,2530.0,2577.0,2577.0,48222869
2019-08-14,2435.0,2556.0,2430.0,2537.0,2537.0,36529748
2019-08-13,2380.0,2485.0,2388.0,2435.0,2435.0,27182649
2019-08-07,2429.0,2550.0,2435.0,2530.0,2530.0,151201409
2019-08-06,2345.0,2461.0,2367.0,2429.0,2429.0,71639680
2019-08-05,2319.0,2411.0,2298.0,2345.0,2345.0,55131577
2019-08-04,2378.0,2380.0,2288.0,2319.0,2319.0,26210989
2019-08-03,2269.0,2382.0,2320.0,2378.0,2378.0,95746656
2019-07-31,2193.0,2302.0,2180.0,2269.0,2269.0,48868236
2019-07-30,2211.0,2217.0,2170.0,2193.0,2193.0,13056913
2019-07-29,2186.0,2260.0,2183.0,2211.0,2211.0,18548216
2019-07-28,2241.0,2237.0,2145.0,2186.0,2186.0,26727055
2019-07-27,2233.0,2285.0,2192.0,2241.0,2241.0,17797150
2019-07-24,2176.0,2272.0,2191.0,2233.0,2233.0,28087193
2019-07-23,2200.0,2230.0,2124.0,2176.0,2176.0,21645056
2019-07-22,2207.0,2257.0,2160.0,2200.0,2200.0,28575040
2019-07-21,2152.0,2240.0,2150.0,2207.0,2207.0,29473404
2019-07-20,2105.0,2210.0,2100.0,2152.0,2152.0,30146337
2019-07-17,2073.0,2169.0,2033.0,2105.0,2105.0,38361902
2019-07-16,2179.0,2167.0,2071.0,2073.0,2073.0,108888579
2019-07-15,2218.0,2210.0,2150.0,2179.0,2179.0,42129828
2019-07-14,2252.0,2259.0,2188.0,2218.0,2218.0,34212112
2019-07-13,2282.0,2301.0,2219.0,2252.0,2252.0,12821855
2019-07-08,2269.0,2334.0,2242.0,2282.0,2282.0,41601980
2019-07-07,2277.0,2310.0,2210.0,2269.0,2269.0,29022737
2019-07-06,2356.0,2366.0,2239.0,2277.0,2277.0,34157845
2019-07-03,2261.0,2374.0,2306.0,2356.0,2356.0,79622702
2019-07-02,2181.0,2290.0,2200.0,2261.0,2261.0,37514006
2019-07-01,2204.0,2239.0,2136.0,2181.0,2181.0,52623392
2019-06-30,2241.0,2298.0,2143.0,2204.0,2204.0,55974734
2019-06-26,2284.0,2340.0,2190.0,2241.0,2241.0,58022101
2019-06-25,2348.0,2354.0,2240.0,2284.0,2284.0,40505556
2019-06-24,2285.0,2395.0,2286.0,2348.0,2348.0,96198826
2019-06-23,2187.0,2296.0,2230.0,2285.0,2285.0,85384794
2019-06-22,2291.0,2240.0,2177.0,2187.0,2187.0,99257333
2019-06-19,2402.0,2340.0,2282.0,2291.0,2291.0,42375793
2019-06-18,2338.0,2454.0,2301.0,2402.0,2402.0,105343621
2019-06-17,2300.0,2400.0,2200.0,2338.0,2338.0,95035404
2019-06-16,2201.0,2311.0,2227.0,2300.0,2300.0,210846735
2019-06-15,2108.0,2213.0,2090.0,2201.0,2201.0,376280646
2019-06-12,2011.0,2111.0,2004.0,2108.0,2108.0,267916721
2019-06-11,2007.0,2054.0,1954.0,2011.0,2011.0,83857695
2019-06-10,1969.0,2059.0,1934.0,2007.0,2007.0,92143690
2019-06-09,1971.0,2008.0,1930.0,1969.0,1969.0,64407287
2019-06-08,1886.0,1980.0,1860.0,1971.0,1971.0,249837807
2019-06-03,1810.0,1900.0,1820.0,1886.0,1886.0,26886789
2019-06-02,1802.0,1844.0,1784.0,1810.0,1810.0,21526281
2019-06-01,1855.0,1835.0,1780.0,1802.0,1802.0,12553737
2019-05-29,1837.0,1875.0,1840.0,1855.0,1855.0,23194106
2019-05-28,1841.0,1868.0,1810.0,1837.0,1837.0,29959629
2019-05-26,1849.0,1887.0,1816.0,1841.0,1841.0,14900447
2019-05-25,1836.0,1869.0,1840.0,1849.0,1849.0,8722120
2019-05-22,1812.0,1852.0,1807.0,1836.0,1836.0,19672908
2019-05-21,1792.0,1848.0,1800.0,1812.0,1812.0,11341425
2019-05-20,1804.0,1812.0,1761.0,1792.0,1792.0,10429761
2019-05-19,1837.0,1829.0,1780.0,1804.0,1804.0,11027562
2019-05-18,1825.0,1861.0,1790.0,1837.0,1837.0,19653180
2019-05-15,1844.0,1870.0,1780.0,1825.0,1825.0,28330092
2019-05-14,1785.0,1874.0,1786.0,1844.0,1844.0,32518141
2019-05-13,1747.0,1834.0,1715.0,1785.0,1785.0,20111518
2019-05-12,1836.0,1830.0,1745.0,1747.0,1747.0,44154871
2019-05-11,1903.0,1930.0,1808.0,1836.0,1836.0,37634536
2019-05-08,1920.0,1997.0,1850.0,1903.0,1903.0,38087875
2019-05-07,2018.0,1960.0,1918.0,1920.0,1920.0,12153304
2019-05-06,2111.0,2070.0,2006.0,2018.0,2018.0,31418368
2019-05-05,2095.0,2194.0,2020.0,2111.0,2111.0,75452340
2019-05-04,1998.0,2097.0,2050.0,2095.0,2095.0,46811962
2019-05-01,1966.0,2058.0,1920.0,1998.0,1998.0,63187852
2019-04-30,1949.0,2038.0,1923.0,1966.0,1966.0,39046714
2019-04-29,1929.0,1999.0,1916.0,1949.0,1949.0,60800903
2019-04-28,1890.0,1960.0,1890.0,1929.0,1929.0,24598651
2019-04-27,1876.0,1930.0,1869.0,1890.0,1890.0,20661182
2019-04-24,1907.0,1938.0,1840.0,1876.0,1876.0,38083403
2019-04-23,1979.0,1952.0,1881.0,1907.0,1907.0,42238537
2019-04-22,2055.0,2090.0,1953.0,1979.0,1979.0,66887537
2019-04-20,2015.0,2090.0,2029.0,2055.0,2055.0,31693314
2019-04-17,2077.0,2068.0,1976.0,2015.0,2015.0,35274627
2019-04-16,2120.0,2171.0,2014.0,2077.0,2077.0,53839921
2019-04-15,2027.0,2128.0,2070.0,2120.0,2120.0,73196572
2019-04-14,1995.0,2078.0,1925.0,2027.0,2027.0,76221597
2019-04-13,1974.0,2055.0,1954.0,1995.0,1995.0,49858856
2019-04-10,1900.0,1995.0,1866.0,1974.0,1974.0,139662304
2019-04-09,1848.0,1940.0,1848.0,1900.0,1900.0,180621619
2019-04-08,1760.0,1848.0,1848.0,1848.0,1848.0,174628313
2019-04-07,1686.0,1770.0,1684.0,1760.0,1760.0,247171317
2019-04-06,1686.0,1709.0,1675.0,1686.0,1686.0,12724077
2019-03-31,1687.0,1730.0,1663.0,1686.0,1686.0,9322062
2019-03-30,1679.0,1703.0,1673.0,1687.0,1687.0,15130179
2019-03-27,1710.0,1701.0,1666.0,1679.0,1679.0,10533631
2019-03-26,1695.0,1734.0,1692.0,1710.0,1710.0,20922163
2019-03-25,1690.0,1740.0,1687.0,1695.0,1695.0,2874543
2019-03-19,1687.0,1709.0,1661.0,1690.0,1690.0,21258178
2019-03-18,1668.0,1710.0,1656.0,1687.0,1687.0,13851345
2019-03-17,1693.0,1700.0,1649.0,1668.0,1668.0,17196708
2019-03-16,1693.0,1733.0,1669.0,1693.0,1693.0,11241336
2019-03-13,1720.0,1732.0,1660.0,1693.0,1693.0,21790374
2019-03-12,1740.0,1738.0,1690.0,1720.0,1720.0,32078247
2019-03-11,1751.0,1790.0,1701.0,1740.0,1740.0,31732957
2019-03-10,1686.0,1770.0,1725.0,1751.0,1751.0,58401306
2019-03-09,1622.0,1701.0,1623.0,1686.0,1686.0,50011291
2019-03-06,1645.0,1652.0,1590.0,1622.0,1622.0,10819037
2019-03-05,1698.0,1692.0,1623.0,1645.0,1645.0,14491401
2019-03-04,1689.0,1740.0,1655.0,1698.0,1698.0,18379841
2019-03-03,1630.0,1711.0,1603.0,1689.0,1689.0,52593373
2019-03-02,1630.0,1679.0,1602.0,1630.0,1630.0,23467617
2019-02-27,1559.0,1636.0,1595.0,1630.0,1630.0,81241053
2019-02-26,1495.0,1569.0,1452.0,1559.0,1559.0,51276722
2019-02-25,1468.0,1511.0,1461.0,1495.0,1495.0,24820876
2019-02-24,1482.0,1489.0,1435.0,1468.0,1468.0,6076606
2019-02-23,1424.0,1495.0,1432.0,1482.0,1482.0,14987701
2019-02-20,1434.0,1449.0,1403.0,1424.0,1424.0,5511205
2019-02-19,1407.0,1470.0,1410.0,1434.0,1434.0,5173571
2019-02-18,1384.0,1444.0,1363.0,1407.0,1407.0,14798080
2019-02-17,1396.0,1417.0,1349.0,1384.0,1384.0,9505842
2019-02-16,1400.0,1412.0,1380.0,1396.0,1396.0,5942166
2019-02-13,1413.0,1418.0,1380.0,1400.0,1400.0,5518734
2019-02-12,1414.0,1442.0,1408.0,1413.0,1413.0,9299885
2019-02-10,1404.0,1442.0,1405.0,1414.0,1414.0,3460026
2019-02-06,1405.0,1427.0,1396.0,1404.0,1404.0,6116666
2019-02-05,1404.0,1420.0,1400.0,1405.0,1405.0,4812163
2019-02-04,1386.0,1420.0,1391.0,1404.0,1404.0,6904534
2019-02-03,1433.0,1444.0,1362.0,1386.0,1386.0,10349300
2019-02-02,1438.0,1455.0,1404.0,1433.0,1433.0,4514504
2019-01-30,1468.0,1459.0,1410.0,1438.0,1438.0,5899053
2019-01-29,1497.0,1510.0,1423.0,1468.0,1468.0,8243553
2019-01-28,1463.0,1518.0,1470.0,1497.0,1497.0,17292265
2019-01-27,1401.0,1471.0,1401.0,1463.0,1463.0,16839747
2019-01-26,1401.0,1420.0,1380.0,1401.0,1401.0,4921885
2019-01-23,1403.0,1429.0,1396.0,1401.0,1401.0,7586767
2019-01-22,1401.0,1431.0,1385.0,1403.0,1403.0,8880183
2019-01-21,1473.0,1472.0,1400.0,1401.0,1401.0,13877191
2019-01-20,1514.0,1520.0,1439.0,1473.0,1473.0,10267490
2019-01-19,1488.0,1549.0,1478.0,1514.0,1514.0,12010882
2019-01-16,1423.0,1494.0,1437.0,1488.0,1488.0,44506541
2019-01-15,1445.0,1459.0,1411.0,1423.0,1423.0,33742562
2019-01-14,1479.0,1490.0,1412.0,1445.0,1445.0,4894323
2019-01-08,1444.0,1514.0,1451.0,1479.0,1479.0,28267193
2019-01-07,1380.0,1449.0,1418.0,1444.0,1444.0,15138399
2019-01-06,1342.0,1409.0,1310.0,1380.0,1380.0,20381306
2019-01-05,1329.0,1352.0,1332.0,1342.0,1342.0,6433754
2019-01-02,1344.0,1350.0,1311.0,1329.0,1329.0,5361048
2019-01-01,1357.0,1363.0,1325.0,1344.0,1344.0,10170983
2018-12-31,1370.0,1369.0,1343.0,1357.0,1357.0,5709327
2018-12-30,1387.0,1393.0,1360.0,1370.0,1370.0,6937006
2018-12-29,1364.0,1422.0,1333.0,1387.0,1387.0,12064889
2018-12-26,1321.0,1385.0,1319.0,1364.0,1364.0,12761190
2018-12-25,1347.0,1337.0,1303.0,1321.0,1321.0,6504219
2018-12-24,1294.0,1358.0,1321.0,1347.0,1347.0,15836912
2018-12-23,1254.0,1316.0,1281.0,1294.0,1294.0,5340464
2018-12-22,1281.0,1286.0,1239.0,1254.0,1254.0,6944796
